Search Term,Paper title,Database, DOI link
AI for attention span analysis on social media,"Decrease In Attention Span Due To Short-Format
Content on Social Media","Google Scholar
",http://mahratta.org/CurrIssue/November_2024/1.%20Decrease%20in%20attention%20span%20due%20to%20short%20format%20content%20on%20Social%20Media%20_Marathe_Kanage.pdf
AI for attention span analysis on social media,"The impact of digital technology, social media, and artificial intelligence on cognitive functions: a review",Google Scholar,https://doi.org/10.3389/fcogn.2023.1203077
AI for attention span analysis on social media,Attention Span and Tech Autonomy as Moral Goods and Societal Necessities,Google Scholar,https://doi.org/10.1007/s44206-023-00053-3
AI for attention span analysis on social media,Attention Span Prediction Using Head-Pose Estimation With Deep Neural Networks,Google Scholar,http://doi.org/10.1109/ACCESS.2021.3120098
AI for attention span analysis on social media,"Impact of Short Reels on Attention Span and Academic Performance of Undergraduate Students
",Google Scholar,https://eric.ed.gov/?id=EJ1454296
AI for attention span analysis on social media,AI for Analyzing Mental Health Disorders Among Social Media Users: Quarter-Century Narrative Review of Progress and Challenges,ScienceDirect,https://doi.org/10.2196/59225
AI attention detection in app usage,"Early Detection of Preschool Children with ADHD and the Role of Mobile Apps and AI
",Google Scholar,https://doi.org/10.47577/tssj.v30i1.6266
https://meet.google.com/wdw-mejo-svc,"Artificial intelligence tool for attention detection to be used in Neuromarketing

",Google Scholar,http://webthesis.biblio.polito.it/id/eprint/29009
AI attention detection in app usage,Utilizing artificial intelligence-based eye tracking technology for screening ADHD symptoms in children,Google Scholar,https://doi.org/10.3389/fpsyt.2023.1260031
AI attention detection in app usage,Early Detection of Attention Deficiency Using ML,Google Scholar,http://doi.org/10.5281/zenodo.8019323
AI attention detection in app usage,"Recent Advances of Artificial Intelligence Tools in Attention-Deficit Hyperactivity Disorder (ADHD)
",Google Scholar,https://doi.org/10.2174/2211556011666220607112528
AI attention detection in app usage,Student’s Attention and Alertness Monitoring System using AI,Google Scholar,http://doi.org/10.1109/MITADTSoCiCon60330.2024.10575441
AI attention detection in app usage,Artificial intelligence-assisted smartphone-based sensing for bioanalytical applications: A review,Google Scholar,https://doi.org/10.1016/j.bios.2023.115233
AI attention detection in app usage,The impact of artificial intelligence on managerial attention allocation for discontinuous change: a conceptual framework,Google Scholar,https://doi.org/10.1007/s11301-024-00409-0
AI + attention + focus + assessment + digital,Prospective applications of artificial intelligence (AI) to enhance consistent attention in first-year undergraduate students in the education sector,Google Scholar,https://doi.org/10.1049/icp.2024.4414
AI + attention + focus + assessment + digital,The use of artificial intelligence during the educational process for students with attention deficit and hyperactivity disorder,Google Scholar,http://doi.org/10.30574/wjbphs.2023.16.2.0459
AI + attention + focus + assessment + digital,"The Digital Attention Heuristics: Supporting the User’s Attention by Design
","ACM Digital Library
",https://doi.org/10.1145/3725215
Machine learning for smartphone distraction detection,Detection of Driver Cognitive Distraction Using Machine Learning Methods,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3245122
Machine learning for smartphone distraction detection,"Detecting and recognizing driver distraction through various data modality using machine learning: A review, recent advances, simplified framework and open challenges (2014–2021)",Google Scholar,https://doi.org/10.1016/j.engappai.2022.105309
Machine learning for smartphone distraction detection,"Application of Machine Learning Techniques to Predict the Occurrence of Distraction-affected Crashes with Phone-Use Data
",Google Scholar,https://doi.org/10.1177/03611981211045371
Machine learning for smartphone distraction detection,A Deep Learning Approach to Driver Distraction Detection of Using Mobile Phone,Google Scholar,"http://doi.org/10.1109/VPPC46532.2019.8952455
"
Machine learning for smartphone distraction detection,Driver distraction detection using machine learning techniques,Google Scholar,https://doi.org/10.1016/j.matpr.2022.02.108
Machine learning for smartphone distraction detection,"Darnet: a deep learning solution for distracted driving detection
",Google Scholar,https://doi.org/10.1145/3154448.3154452
Machine learning for smartphone distraction detection,Neural Networks for the Detection of Distractions in Drivers,IEEE Xplore,http://doi.org/10.1109/COMRob60035.2023.10349775
